track_id,song_id,artist_id,artist_name,song_title,genre,match_1_title,match_2_title,match_3_title,match_1_word_count,match_2_word_count,match_3_word_count,cosine_match_1,cosine_match_2,cosine_match_3
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,These Arms Of Mine,Please Baby,Baby Be Mine,115.0,141.0,377.0,SOKNNUH12AB018D271,SOLJQGJ12AB01872F6,SOTLPVB12CF5CFD7F3
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,Fire and Heights,Never Gonna Give You Up,Jerusalem,621.0,442.0,480.0,SOSWVVV12A8C13C21C,SOFXBUV12AB0187A06,SOPJZCC12A8C13FF7B
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Half Right,If I Had,Half Of My Mistakes,147.0,736.0,264.0,SOLHSUR12A8C1372D3,SORAWSB12A6701FBC8,SODBAYW12AB018AAD3
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Here We Go,Don't Stop,Here I Am (Come And Take Me),374.0,272.0,271.0,SOXSRBF12D021B1340,SOBJWZJ12A8C1300E8,SOLFMIZ12A6D4F8330
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),Interlude 5,The Way It Is,560.0,1903.0,416.0,SOPWGZI12AB018332B,SOONCPO12AF72A1986,SOMQFTM12AB0181667
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Just Right,Oh Baby I,5:19,684.0,444.0,212.0,SOQSJPL12AF729C98D,SOSKIZH12A6D4F7B05,SORPORK12AB0189A61
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,What Can I Say,Time To Grow,Dreams,234.0,324.0,479.0,SORZTAS12A8C13E0F6,SOPOWVI12A6D4F4F91,SOGKRFR12A8C13CB89
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Bonin' In The Boneyard,Rockin' Pneumonia,Baby Help Me,167.0,30.0,179.0,SOPGGDC12A8C134FF3,SOHSVHB12A8C13973D,SOETIJA12AB018BECA
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,13 Months Of Sunshine,Sufferin' In The Land,Elephant Clouds,263.0,94.0,135.0,SOGJSUY12A8C133398,SOOWDXU12A8AE4815F,SOQBRNE12A6D4FC212
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Outside The Trains Don't Run On Time,Brotha,GO,129.0,263.0,192.0,SOKNQBS12A8C13F15D,SONYFZL12AB018468A,SONGPQL12A8AE45DE5
